InStationName,InTime,OutStationName,OutTime,Price,DateType,origin,destination
Sta86,2020-05-20 07,Sta107,2020-05-20 08,400,1,0,1
Sta107,2020-05-20 14,Sta86,2020-05-20 14,400,1,1,0
Sta86,2020-05-21 07,Sta107,2020-05-21 08,400,1,0,1
Sta107,2020-05-21 14,Sta123,2020-05-21 14,200,1,1,2
Sta123,2020-05-21 16,Sta63,2020-05-21 16,300,1,2,2
Sta63,2020-05-21 17,Sta86,2020-05-21 17,200,1,2,0
Sta86,2020-05-22 07,Sta107,2020-05-22 08,400,1,0,1
Sta56,2020-05-22 16,Sta86,2020-05-22 17,300,1,2,0
Sta86,2020-05-25 07,Sta107,2020-05-25 08,400,1,0,1
Sta107,2020-05-25 13,Sta86,2020-05-25 14,400,1,1,0
Sta86,2020-05-27 07,Sta107,2020-05-27 08,400,1,0,1
Sta107,2020-05-27 18,Sta86,2020-05-27 18,400,1,1,0
Sta86,2020-05-28 07,Sta107,2020-05-28 08,400,1,0,1
Sta40,2020-05-28 16,Sta86,2020-05-28 17,300,1,2,0
Sta86,2020-05-29 16,Sta107,2020-05-29 17,400,1,0,1
Sta107,2020-05-29 18,Sta86,2020-05-29 18,400,1,1,0
Sta86,2020-06-01 07,Sta107,2020-06-01 08,400,1,0,1
Sta107,2020-06-01 18,Sta86,2020-06-01 18,400,1,1,0
Sta86,2020-06-02 07,Sta107,2020-06-02 08,400,1,0,1
Sta86,2020-06-03 07,Sta107,2020-06-03 08,400,1,0,1
Sta107,2020-06-03 18,Sta86,2020-06-03 19,400,1,1,0
Sta86,2020-06-04 07,Sta107,2020-06-04 08,400,1,0,1
Sta107,2020-06-04 18,Sta86,2020-06-04 19,400,1,1,0
Sta86,2020-06-05 07,Sta107,2020-06-05 08,400,1,0,1
Sta56,2020-06-05 17,Sta86,2020-06-05 17,300,1,2,0
Sta86,2020-06-08 07,Sta107,2020-06-08 08,400,1,0,1
Sta56,2020-06-08 17,Sta86,2020-06-08 17,300,1,2,0
Sta86,2020-06-09 07,Sta107,2020-06-09 08,400,1,0,1
Sta107,2020-06-09 18,Sta86,2020-06-09 18,400,1,1,0
Sta86,2020-06-10 07,Sta107,2020-06-10 08,400,1,0,1
Sta107,2020-06-10 18,Sta86,2020-06-10 18,400,1,1,0
Sta86,2020-06-11 07,Sta107,2020-06-11 08,400,1,0,1
Sta107,2020-06-11 18,Sta86,2020-06-11 18,400,1,1,0
Sta86,2020-06-12 08,Sta107,2020-06-12 08,400,1,0,1
Sta107,2020-06-12 18,Sta86,2020-06-12 18,400,1,1,0
Sta86,2020-06-15 07,Sta107,2020-06-15 08,400,1,0,1
Sta107,2020-06-15 18,Sta86,2020-06-15 18,400,1,1,0
Sta86,2020-06-16 07,Sta107,2020-06-16 08,400,1,0,1
Sta86,2020-06-17 07,Sta107,2020-06-17 08,400,1,0,1
Sta107,2020-06-17 18,Sta86,2020-06-17 18,400,1,1,0
Sta86,2020-06-18 07,Sta107,2020-06-18 08,400,1,0,1
Sta107,2020-06-18 18,Sta86,2020-06-18 18,400,1,1,0
Sta86,2020-06-19 07,Sta107,2020-06-19 08,400,1,0,1
Sta56,2020-06-19 15,Sta86,2020-06-19 15,300,1,2,0
Sta86,2020-06-22 07,Sta107,2020-06-22 08,400,1,0,1
Sta56,2020-06-22 16,Sta86,2020-06-22 16,300,1,2,0
Sta123,2020-06-23 16,Sta107,2020-06-23 17,200,1,2,1
Sta15,2020-06-24 07,Sta84,2020-06-24 07,200,1,2,2
Sta107,2020-06-24 12,Sta86,2020-06-24 13,400,1,1,0
Sta86,2020-06-24 16,Sta107,2020-06-24 17,400,1,0,1
Sta107,2020-06-24 18,Sta86,2020-06-24 19,400,1,1,0
Sta86,2020-06-28 07,Sta107,2020-06-28 08,400,2,0,1
Sta86,2020-06-29 07,Sta107,2020-06-29 08,400,1,0,1
Sta107,2020-06-29 18,Sta86,2020-06-29 18,400,1,1,0
Sta86,2020-06-30 07,Sta107,2020-06-30 08,400,1,0,1
Sta123,2020-06-30 18,Sta86,2020-06-30 19,300,1,2,0
Sta86,2020-07-06 07,Sta107,2020-07-06 08,400,1,0,1
