Time,DiffConfirmedCount,DateType,InTime,OutTime,origin,destination,Trip
2020-01-05 16,0.0,2.0,,,,,
2020-01-05 17,0.0,2.0,,,,,
2020-01-05 18,0.0,2.0,,,,,
2020-01-05 19,0.0,2.0,,,,,
2020-01-05 20,0.0,2.0,,,,,
2020-01-05 21,0.0,2.0,,,,,
2020-01-05 22,0.0,2.0,,,,,
2020-01-05 23,0.0,2.0,,,,,
2020-01-06 06,0.0,1.0,,,,,
2020-01-06 07,0.0,1.0,,,,,
2020-01-06 08,0.0,1.0,,,,,
2020-01-06 09,0.0,1.0,,,,,
2020-01-06 10,0.0,1.0,,,,,
2020-01-06 11,0.0,1.0,,,,,
2020-01-06 12,0.0,1.0,,,,,
2020-01-06 13,0.0,1.0,,,,,
2020-01-06 14,0.0,1.0,,,,,
2020-01-06 15,0.0,1.0,,,,,
2020-01-06 16,0.0,1.0,,,,,
2020-01-06 17,0.0,1.0,,,,,
2020-01-06 18,0.0,1.0,,,,,
2020-01-06 19,0.0,1.0,,,,,
2020-01-06 20,0.0,1.0,,,,,
2020-01-06 21,0.0,1.0,,,,,
2020-01-06 22,0.0,1.0,,,,,
2020-01-06 23,0.0,1.0,,,,,
2020-01-07 06,0.0,1.0,,,,,
2020-01-07 07,0.0,1.0,,,,,
2020-01-07 08,0.0,1.0,,,,,
2020-01-07 09,0.0,1.0,,,,,
2020-01-07 10,0.0,1.0,,,,,
2020-01-07 11,0.0,1.0,,,,,
2020-01-07 12,0.0,1.0,,,,,
2020-01-07 13,0.0,1.0,,,,,
2020-01-07 14,0.0,1.0,,,,,
2020-01-07 15,0.0,1.0,,,,,
2020-01-07 16,0.0,1.0,,,,,
2020-01-07 17,0.0,1.0,,,,,
2020-01-07 18,0.0,1.0,,,,,
2020-01-07 19,0.0,1.0,,,,,
2020-01-07 20,0.0,1.0,,,,,
2020-01-07 21,0.0,1.0,,,,,
2020-01-07 22,0.0,1.0,,,,,
2020-01-07 23,0.0,1.0,,,,,
2020-01-08 06,0.0,1.0,,,,,
2020-01-08 07,0.0,1.0,,,,,
2020-01-08 08,0.0,1.0,,,,,
2020-01-08 09,0.0,1.0,,,,,
2020-01-08 10,0.0,1.0,,,,,
2020-01-08 11,0.0,1.0,,,,,
2020-01-08 12,0.0,1.0,,,,,
2020-01-08 13,0.0,1.0,,,,,
2020-01-08 14,0.0,1.0,2020-01-08 14,2020-01-08 14,2.0,0.0,1.0
2020-01-08 15,0.0,1.0,,,,,
2020-01-08 16,0.0,1.0,,,,,
2020-01-08 17,0.0,1.0,,,,,
2020-01-08 18,0.0,1.0,,,,,
2020-01-08 19,0.0,1.0,,,,,
2020-01-08 20,0.0,1.0,,,,,
2020-01-08 21,0.0,1.0,,,,,
2020-01-08 22,0.0,1.0,,,,,
2020-01-08 23,0.0,1.0,,,,,
2020-01-09 06,0.0,1.0,,,,,
2020-01-09 07,0.0,1.0,,,,,
2020-01-09 08,0.0,1.0,,,,,
2020-01-09 09,0.0,1.0,,,,,
2020-01-09 10,0.0,1.0,,,,,
2020-01-09 11,0.0,1.0,,,,,
2020-01-09 12,0.0,1.0,,,,,
2020-01-09 13,0.0,1.0,,,,,
2020-01-09 14,0.0,1.0,,,,,
2020-01-09 15,0.0,1.0,,,,,
2020-01-09 16,0.0,1.0,,,,,
2020-01-09 17,0.0,1.0,,,,,
2020-01-09 18,0.0,1.0,2020-01-09 18,2020-01-09 18,2.0,0.0,1.0
2020-01-09 19,0.0,1.0,2020-01-09 19,2020-01-09 20,0.0,2.0,1.0
2020-01-09 20,0.0,1.0,,,,,
2020-01-09 21,0.0,1.0,,,,,
2020-01-09 22,0.0,1.0,,,,,
2020-01-09 23,0.0,1.0,,,,,
2020-01-10 06,0.0,1.0,,,,,
2020-01-10 07,0.0,1.0,2020-01-10 07,2020-01-10 08,0.0,2.0,1.0
2020-01-10 08,0.0,1.0,,,,,
2020-01-10 09,0.0,1.0,,,,,
2020-01-10 10,0.0,1.0,,,,,
2020-01-10 11,0.0,1.0,,,,,
2020-01-10 12,0.0,1.0,,,,,
2020-01-10 13,0.0,1.0,,,,,
2020-01-10 14,0.0,1.0,,,,,
2020-01-10 15,0.0,1.0,,,,,
2020-01-10 16,0.0,1.0,,,,,
2020-01-10 17,0.0,1.0,2020-01-10 17,2020-01-10 17,2.0,0.0,1.0
2020-01-10 18,0.0,1.0,,,,,
2020-01-10 19,0.0,1.0,,,,,
2020-01-10 20,0.0,1.0,,,,,
2020-01-10 21,0.0,1.0,,,,,
2020-01-10 22,0.0,1.0,,,,,
2020-01-10 23,0.0,1.0,,,,,
2020-01-11 06,0.0,2.0,,,,,
2020-01-11 07,0.0,2.0,,,,,
2020-01-11 08,0.0,2.0,2020-01-11 08,2020-01-11 09,0.0,2.0,1.0
2020-01-11 09,0.0,2.0,,,,,
2020-01-11 10,0.0,2.0,,,,,
2020-01-11 11,0.0,2.0,,,,,
2020-01-11 12,0.0,2.0,,,,,
2020-01-11 13,0.0,2.0,,,,,
2020-01-11 14,0.0,2.0,,,,,
2020-01-11 15,0.0,2.0,,,,,
2020-01-11 16,0.0,2.0,,,,,
2020-01-11 17,0.0,2.0,,,,,
2020-01-11 18,0.0,2.0,2020-01-11 18,2020-01-11 18,2.0,0.0,1.0
2020-01-11 19,0.0,2.0,,,,,
2020-01-11 20,0.0,2.0,,,,,
2020-01-11 21,0.0,2.0,,,,,
2020-01-11 22,0.0,2.0,,,,,
2020-01-11 23,0.0,2.0,,,,,
2020-01-12 06,0.0,2.0,,,,,
2020-01-12 07,0.0,2.0,,,,,
2020-01-12 08,0.0,2.0,,,,,
2020-01-12 09,0.0,2.0,,,,,
2020-01-12 10,0.0,2.0,2020-01-12 10,2020-01-12 10,0.0,2.0,1.0
2020-01-12 11,0.0,2.0,,,,,
2020-01-12 12,0.0,2.0,,,,,
2020-01-12 13,0.0,2.0,,,,,
2020-01-12 14,0.0,2.0,,,,,
2020-01-12 15,0.0,2.0,,,,,
2020-01-12 16,0.0,2.0,,,,,
2020-01-12 17,0.0,2.0,,,,,
2020-01-12 18,0.0,2.0,,,,,
2020-01-12 19,0.0,2.0,,,,,
2020-01-12 20,0.0,2.0,,,,,
2020-01-12 21,0.0,2.0,,,,,
2020-01-12 22,0.0,2.0,,,,,
2020-01-12 23,0.0,2.0,,,,,
2020-01-13 06,0.0,1.0,,,,,
2020-01-13 07,0.0,1.0,,,,,
2020-01-13 08,0.0,1.0,,,,,
2020-01-13 09,0.0,1.0,,,,,
2020-01-13 10,0.0,1.0,2020-01-13 10,2020-01-13 10,0.0,2.0,1.0
2020-01-13 11,0.0,1.0,,,,,
2020-01-13 12,0.0,1.0,,,,,
2020-01-13 13,0.0,1.0,,,,,
2020-01-13 14,0.0,1.0,,,,,
2020-01-13 15,0.0,1.0,,,,,
2020-01-13 16,0.0,1.0,,,,,
2020-01-13 17,0.0,1.0,,,,,
2020-01-13 18,0.0,1.0,,,,,
2020-01-13 19,0.0,1.0,,,,,
2020-01-13 20,0.0,1.0,,,,,
2020-01-13 21,0.0,1.0,,,,,
2020-01-13 22,0.0,1.0,,,,,
2020-01-13 23,0.0,1.0,,,,,
2020-01-14 06,0.0,1.0,,,,,
2020-01-14 07,0.0,1.0,,,,,
2020-01-14 08,0.0,1.0,2020-01-14 08,2020-01-14 09,0.0,1.0,1.0
2020-01-14 09,0.0,1.0,,,,,
2020-01-14 10,0.0,1.0,,,,,
2020-01-14 11,0.0,1.0,,,,,
2020-01-14 12,0.0,1.0,,,,,
2020-01-14 13,0.0,1.0,,,,,
2020-01-14 14,0.0,1.0,,,,,
2020-01-14 15,0.0,1.0,,,,,
2020-01-14 16,0.0,1.0,,,,,
2020-01-14 17,0.0,1.0,,,,,
2020-01-14 18,0.0,1.0,,,,,
2020-01-14 19,0.0,1.0,,,,,
2020-01-14 20,0.0,1.0,,,,,
2020-01-14 21,0.0,1.0,,,,,
2020-01-14 22,0.0,1.0,,,,,
2020-01-14 23,0.0,1.0,,,,,
2020-01-15 06,0.0,1.0,,,,,
2020-01-15 07,0.0,1.0,,,,,
2020-01-15 08,0.0,1.0,2020-01-15 08,2020-01-15 08,0.0,1.0,1.0
2020-01-15 09,0.0,1.0,,,,,
2020-01-15 10,0.0,1.0,,,,,
2020-01-15 11,0.0,1.0,,,,,
2020-01-15 12,0.0,1.0,,,,,
2020-01-15 13,0.0,1.0,,,,,
2020-01-15 14,0.0,1.0,,,,,
2020-01-15 15,0.0,1.0,,,,,
2020-01-15 16,0.0,1.0,,,,,
2020-01-15 17,0.0,1.0,2020-01-15 17,2020-01-15 18,2.0,0.0,1.0
2020-01-15 18,0.0,1.0,,,,,
2020-01-15 19,0.0,1.0,,,,,
2020-01-15 20,0.0,1.0,,,,,
2020-01-15 21,0.0,1.0,,,,,
2020-01-15 22,0.0,1.0,,,,,
2020-01-15 23,0.0,1.0,,,,,
2020-01-16 06,0.0,1.0,,,,,
2020-01-16 07,0.0,1.0,,,,,
2020-01-16 08,0.0,1.0,2020-01-16 08,2020-01-16 09,0.0,1.0,1.0
2020-01-16 09,0.0,1.0,,,,,
2020-01-16 10,0.0,1.0,,,,,
2020-01-16 11,0.0,1.0,,,,,
2020-01-16 12,0.0,1.0,,,,,
2020-01-16 13,0.0,1.0,,,,,
2020-01-16 14,0.0,1.0,,,,,
2020-01-16 15,0.0,1.0,,,,,
2020-01-16 16,0.0,1.0,,,,,
2020-01-16 17,0.0,1.0,2020-01-16 17,2020-01-16 18,1.0,0.0,1.0
2020-01-16 18,0.0,1.0,,,,,
2020-01-16 19,0.0,1.0,,,,,
2020-01-16 20,0.0,1.0,,,,,
2020-01-16 21,0.0,1.0,,,,,
2020-01-16 22,0.0,1.0,,,,,
2020-01-16 23,0.0,1.0,,,,,
2020-01-17 06,0.0,1.0,,,,,
2020-01-17 07,0.0,1.0,,,,,
2020-01-17 08,0.0,1.0,2020-01-17 08,2020-01-17 09,0.0,1.0,1.0
2020-01-17 09,0.0,1.0,,,,,
2020-01-17 10,0.0,1.0,,,,,
2020-01-17 11,0.0,1.0,,,,,
2020-01-17 12,0.0,1.0,,,,,
2020-01-17 13,0.0,1.0,,,,,
2020-01-17 14,0.0,1.0,,,,,
2020-01-17 15,0.0,1.0,,,,,
2020-01-17 16,0.0,1.0,,,,,
2020-01-17 17,0.0,1.0,2020-01-17 17,2020-01-17 17,1.0,0.0,1.0
2020-01-17 18,0.0,1.0,,,,,
2020-01-17 19,0.0,1.0,,,,,
2020-01-17 20,0.0,1.0,,,,,
2020-01-17 21,0.0,1.0,,,,,
2020-01-17 22,0.0,1.0,,,,,
2020-01-17 23,0.0,1.0,,,,,
2020-01-18 06,0.0,2.0,,,,,
2020-01-18 07,0.0,2.0,,,,,
2020-01-18 08,0.0,2.0,,,,,
2020-01-18 09,0.0,2.0,,,,,
2020-01-18 10,0.0,2.0,,,,,
2020-01-18 11,0.0,2.0,,,,,
2020-01-18 12,0.0,2.0,2020-01-18 12,2020-01-18 12,0.0,2.0,1.0
2020-01-18 13,0.0,2.0,,,,,
2020-01-18 14,0.0,2.0,2020-01-18 14,2020-01-18 15,2.0,0.0,1.0
2020-01-18 15,0.0,2.0,,,,,
2020-01-18 16,0.0,2.0,,,,,
2020-01-18 17,0.0,2.0,,,,,
2020-01-18 18,0.0,2.0,,,,,
2020-01-18 19,0.0,2.0,,,,,
2020-01-18 20,0.0,2.0,,,,,
2020-01-18 21,0.0,2.0,,,,,
2020-01-18 22,0.0,2.0,,,,,
2020-01-18 23,0.0,2.0,,,,,
2020-01-19 06,0.0,2.0,,,,,
2020-01-19 07,0.0,2.0,,,,,
2020-01-19 08,0.0,2.0,2020-01-19 08,2020-01-19 09,0.0,1.0,1.0
2020-01-19 09,0.0,2.0,,,,,
2020-01-19 10,0.0,2.0,,,,,
2020-01-19 11,0.0,2.0,,,,,
2020-01-19 12,0.0,2.0,,,,,
2020-01-19 13,0.0,2.0,,,,,
2020-01-19 14,0.0,2.0,,,,,
2020-01-19 15,0.0,2.0,,,,,
2020-01-19 16,0.0,2.0,,,,,
2020-01-19 17,0.0,2.0,2020-01-19 17,2020-01-19 18,1.0,0.0,1.0
2020-01-19 18,0.0,2.0,,,,,
2020-01-19 19,0.0,2.0,,,,,
2020-01-19 20,0.0,2.0,,,,,
2020-01-19 21,0.0,2.0,,,,,
2020-01-19 22,0.0,2.0,,,,,
2020-01-19 23,0.0,2.0,,,,,
2020-01-20 06,0.0,1.0,,,,,
2020-01-20 07,0.0,1.0,,,,,
2020-01-20 08,0.0,1.0,2020-01-20 08,2020-01-20 09,0.0,1.0,1.0
2020-01-20 09,0.0,1.0,,,,,
2020-01-20 10,0.0,1.0,,,,,
2020-01-20 11,0.0,1.0,,,,,
2020-01-20 12,0.0,1.0,,,,,
2020-01-20 13,0.0,1.0,,,,,
2020-01-20 14,0.0,1.0,,,,,
2020-01-20 15,0.0,1.0,,,,,
2020-01-20 16,0.0,1.0,,,,,
2020-01-20 17,0.0,1.0,2020-01-20 17,2020-01-20 18,1.0,0.0,1.0
2020-01-20 18,0.0,1.0,,,,,
2020-01-20 19,0.0,1.0,,,,,
2020-01-20 20,0.0,1.0,,,,,
2020-01-20 21,0.0,1.0,,,,,
2020-01-20 22,0.0,1.0,,,,,
2020-01-20 23,0.0,1.0,,,,,
2020-01-21 06,0.0,1.0,,,,,
2020-01-21 07,0.0,1.0,,,,,
2020-01-21 08,0.0,1.0,2020-01-21 08,2020-01-21 09,0.0,1.0,1.0
2020-01-21 09,0.0,1.0,,,,,
2020-01-21 10,0.0,1.0,,,,,
2020-01-21 11,0.0,1.0,,,,,
2020-01-21 12,0.0,1.0,,,,,
2020-01-21 13,0.0,1.0,,,,,
2020-01-21 14,0.0,1.0,,,,,
2020-01-21 15,0.0,1.0,,,,,
2020-01-21 16,0.0,1.0,,,,,
2020-01-21 17,0.0,1.0,,,,,
2020-01-21 18,0.0,1.0,,,,,
2020-01-21 19,0.0,1.0,,,,,
2020-01-21 20,0.0,1.0,,,,,
2020-01-21 21,0.0,1.0,,,,,
2020-01-21 22,0.0,1.0,,,,,
2020-01-21 23,0.0,1.0,,,,,
2020-01-22 06,0.0,1.0,,,,,
2020-01-22 07,0.0,1.0,,,,,
2020-01-22 08,0.0,1.0,,,,,
2020-01-22 09,0.0,1.0,,,,,
2020-01-22 10,0.0,1.0,,,,,
2020-01-22 11,0.0,1.0,,,,,
2020-01-22 12,0.0,1.0,,,,,
2020-01-22 13,0.0,1.0,,,,,
2020-01-22 14,0.0,1.0,,,,,
2020-01-22 15,0.0,1.0,,,,,
2020-01-22 16,0.0,1.0,,,,,
2020-01-22 17,0.0,1.0,,,,,
2020-01-22 18,0.0,1.0,,,,,
2020-01-22 19,0.0,1.0,,,,,
2020-01-22 20,0.0,1.0,,,,,
2020-01-22 21,0.0,1.0,,,,,
2020-01-22 22,0.0,1.0,,,,,
2020-01-22 23,0.0,1.0,,,,,
2020-01-23 06,0.0,1.0,,,,,
2020-01-23 07,0.0,1.0,,,,,
2020-01-23 08,0.0,1.0,,,,,
2020-01-23 09,0.0,1.0,,,,,
2020-01-23 10,0.0,1.0,,,,,
2020-01-23 11,0.0,1.0,,,,,
2020-01-23 12,0.0,1.0,,,,,
2020-01-23 13,0.0,1.0,,,,,
2020-01-23 14,0.0,1.0,,,,,
2020-01-23 15,0.0,1.0,,,,,
2020-01-23 16,0.0,1.0,,,,,
2020-01-23 17,0.0,1.0,,,,,
2020-01-23 18,0.0,1.0,,,,,
2020-01-23 19,0.0,1.0,,,,,
2020-01-23 20,0.0,1.0,,,,,
2020-01-23 21,0.0,1.0,,,,,
2020-01-23 22,0.0,1.0,,,,,
2020-01-23 23,0.0,1.0,,,,,
2020-01-24 06,866.0,3.0,,,,,
2020-01-24 07,866.0,3.0,,,,,
2020-01-24 08,866.0,3.0,,,,,
2020-01-24 09,866.0,3.0,,,,,
2020-01-24 10,866.0,3.0,,,,,
2020-01-24 11,866.0,3.0,,,,,
2020-01-24 12,866.0,3.0,,,,,
2020-01-24 13,866.0,3.0,,,,,
2020-01-24 14,866.0,3.0,,,,,
2020-01-24 15,866.0,3.0,,,,,
2020-01-24 16,866.0,3.0,,,,,
2020-01-24 17,866.0,3.0,,,,,
2020-01-24 18,866.0,3.0,,,,,
2020-01-24 19,866.0,3.0,,,,,
2020-01-24 20,866.0,3.0,,,,,
2020-01-24 21,866.0,3.0,,,,,
2020-01-24 22,866.0,3.0,,,,,
2020-01-24 23,866.0,3.0,,,,,
2020-01-25 06,458.0,3.0,,,,,
2020-01-25 07,458.0,3.0,,,,,
2020-01-25 08,458.0,3.0,,,,,
2020-01-25 09,458.0,3.0,,,,,
2020-01-25 10,458.0,3.0,,,,,
2020-01-25 11,458.0,3.0,,,,,
2020-01-25 12,458.0,3.0,,,,,
2020-01-25 13,458.0,3.0,,,,,
2020-01-25 14,458.0,3.0,,,,,
2020-01-25 15,458.0,3.0,,,,,
2020-01-25 16,458.0,3.0,,,,,
2020-01-25 17,458.0,3.0,,,,,
2020-01-25 18,458.0,3.0,,,,,
2020-01-25 19,458.0,3.0,,,,,
2020-01-25 20,458.0,3.0,,,,,
2020-01-25 21,458.0,3.0,,,,,
2020-01-25 22,458.0,3.0,,,,,
2020-01-25 23,458.0,3.0,,,,,
2020-01-26 06,695.0,3.0,,,,,
2020-01-26 07,695.0,3.0,,,,,
2020-01-26 08,695.0,3.0,,,,,
2020-01-26 09,695.0,3.0,,,,,
2020-01-26 10,695.0,3.0,,,,,
2020-01-26 11,695.0,3.0,,,,,
2020-01-26 12,695.0,3.0,,,,,
2020-01-26 13,695.0,3.0,,,,,
2020-01-26 14,695.0,3.0,,,,,
2020-01-26 15,695.0,3.0,,,,,
2020-01-26 16,695.0,3.0,,,,,
2020-01-26 17,695.0,3.0,,,,,
2020-01-26 18,695.0,3.0,,,,,
2020-01-26 19,695.0,3.0,,,,,
2020-01-26 20,695.0,3.0,,,,,
2020-01-26 21,695.0,3.0,,,,,
2020-01-26 22,695.0,3.0,,,,,
2020-01-26 23,695.0,3.0,,,,,
2020-01-27 06,819.0,3.0,,,,,
2020-01-27 07,819.0,3.0,,,,,
2020-01-27 08,819.0,3.0,,,,,
2020-01-27 09,819.0,3.0,,,,,
2020-01-27 10,819.0,3.0,,,,,
2020-01-27 11,819.0,3.0,,,,,
2020-01-27 12,819.0,3.0,,,,,
2020-01-27 13,819.0,3.0,,,,,
2020-01-27 14,819.0,3.0,,,,,
2020-01-27 15,819.0,3.0,,,,,
2020-01-27 16,819.0,3.0,,,,,
2020-01-27 17,819.0,3.0,,,,,
2020-01-27 18,819.0,3.0,,,,,
2020-01-27 19,819.0,3.0,,,,,
2020-01-27 20,819.0,3.0,,,,,
2020-01-27 21,819.0,3.0,,,,,
2020-01-27 22,819.0,3.0,,,,,
2020-01-27 23,819.0,3.0,,,,,
2020-01-28 06,1792.0,3.0,,,,,
2020-01-28 07,1792.0,3.0,,,,,
2020-01-28 08,1792.0,3.0,,,,,
2020-01-28 09,1792.0,3.0,,,,,
2020-01-28 10,1792.0,3.0,,,,,
2020-01-28 11,1792.0,3.0,,,,,
2020-01-28 12,1792.0,3.0,,,,,
2020-01-28 13,1792.0,3.0,,,,,
2020-01-28 14,1792.0,3.0,,,,,
2020-01-28 15,1792.0,3.0,,,,,
2020-01-28 16,1792.0,3.0,,,,,
2020-01-28 17,1792.0,3.0,,,,,
2020-01-28 18,1792.0,3.0,,,,,
2020-01-28 19,1792.0,3.0,,,,,
2020-01-28 20,1792.0,3.0,,,,,
2020-01-28 21,1792.0,3.0,,,,,
2020-01-28 22,1792.0,3.0,,,,,
2020-01-28 23,1792.0,3.0,,,,,
2020-01-29 06,1456.0,3.0,,,,,
2020-01-29 07,1456.0,3.0,,,,,
2020-01-29 08,1456.0,3.0,,,,,
2020-01-29 09,1456.0,3.0,,,,,
2020-01-29 10,1456.0,3.0,,,,,
2020-01-29 11,1456.0,3.0,,,,,
2020-01-29 12,1456.0,3.0,,,,,
2020-01-29 13,1456.0,3.0,,,,,
2020-01-29 14,1456.0,3.0,,,,,
2020-01-29 15,1456.0,3.0,,,,,
2020-01-29 16,1456.0,3.0,,,,,
2020-01-29 17,1456.0,3.0,,,,,
2020-01-29 18,1456.0,3.0,,,,,
2020-01-29 19,1456.0,3.0,,,,,
2020-01-29 20,1456.0,3.0,,,,,
2020-01-29 21,1456.0,3.0,,,,,
2020-01-29 22,1456.0,3.0,,,,,
2020-01-29 23,1456.0,3.0,,,,,
2020-01-30 06,2063.0,3.0,,,,,
2020-01-30 07,2063.0,3.0,,,,,
2020-01-30 08,2063.0,3.0,,,,,
2020-01-30 09,2063.0,3.0,,,,,
2020-01-30 10,2063.0,3.0,,,,,
2020-01-30 11,2063.0,3.0,,,,,
2020-01-30 12,2063.0,3.0,,,,,
2020-01-30 13,2063.0,3.0,,,,,
2020-01-30 14,2063.0,3.0,,,,,
2020-01-30 15,2063.0,3.0,,,,,
2020-01-30 16,2063.0,3.0,,,,,
2020-01-30 17,2063.0,3.0,,,,,
2020-01-30 18,2063.0,3.0,,,,,
2020-01-30 19,2063.0,3.0,,,,,
2020-01-30 20,2063.0,3.0,,,,,
2020-01-30 21,2063.0,3.0,,,,,
2020-01-30 22,2063.0,3.0,,,,,
2020-01-30 23,2063.0,3.0,,,,,
2020-01-31 06,1662.0,3.0,,,,,
2020-01-31 07,1662.0,3.0,,,,,
2020-01-31 08,1662.0,3.0,,,,,
2020-01-31 09,1662.0,3.0,,,,,
2020-01-31 10,1662.0,3.0,,,,,
2020-01-31 11,1662.0,3.0,,,,,
2020-01-31 12,1662.0,3.0,,,,,
2020-01-31 13,1662.0,3.0,,,,,
2020-01-31 14,1662.0,3.0,,,,,
2020-01-31 15,1662.0,3.0,,,,,
2020-01-31 16,1662.0,3.0,,,,,
2020-01-31 17,1662.0,3.0,,,,,
2020-01-31 18,1662.0,3.0,,,,,
2020-01-31 19,1662.0,3.0,,,,,
2020-01-31 20,1662.0,3.0,,,,,
2020-01-31 21,1662.0,3.0,,,,,
2020-01-31 22,1662.0,3.0,,,,,
2020-01-31 23,1662.0,3.0,,,,,
2020-02-01 06,2090.0,3.0,,,,,
2020-02-01 07,2090.0,3.0,,,,,
2020-02-01 08,2090.0,3.0,,,,,
2020-02-01 09,2090.0,3.0,,,,,
2020-02-01 10,2090.0,3.0,,,,,
2020-02-01 11,2090.0,3.0,,,,,
2020-02-01 12,2090.0,3.0,,,,,
2020-02-01 13,2090.0,3.0,,,,,
2020-02-01 14,2090.0,3.0,,,,,
2020-02-01 15,2090.0,3.0,,,,,
2020-02-01 16,2090.0,3.0,,,,,
2020-02-01 17,2090.0,3.0,,,,,
2020-02-01 18,2090.0,3.0,,,,,
2020-02-01 19,2090.0,3.0,,,,,
2020-02-01 20,2090.0,3.0,,,,,
2020-02-01 21,2090.0,3.0,,,,,
2020-02-01 22,2090.0,3.0,,,,,
2020-02-01 23,2090.0,3.0,,,,,
2020-02-02 06,2589.0,3.0,,,,,
2020-02-02 07,2589.0,3.0,,,,,
2020-02-02 08,2589.0,3.0,,,,,
2020-02-02 09,2589.0,3.0,,,,,
2020-02-02 10,2589.0,3.0,,,,,
2020-02-02 11,2589.0,3.0,,,,,
2020-02-02 12,2589.0,3.0,,,,,
2020-02-02 13,2589.0,3.0,,,,,
2020-02-02 14,2589.0,3.0,,,,,
2020-02-02 15,2589.0,3.0,,,,,
2020-02-02 16,2589.0,3.0,,,,,
2020-02-02 17,2589.0,3.0,,,,,
2020-02-02 18,2589.0,3.0,,,,,
2020-02-02 19,2589.0,3.0,,,,,
2020-02-02 20,2589.0,3.0,,,,,
2020-02-02 21,2589.0,3.0,,,,,
2020-02-02 22,2589.0,3.0,,,,,
2020-02-02 23,2589.0,3.0,,,,,
2020-02-03 06,2851.0,1.0,,,,,
2020-02-03 07,2851.0,1.0,,,,,
2020-02-03 08,2851.0,1.0,,,,,
2020-02-03 09,2851.0,1.0,,,,,
2020-02-03 10,2851.0,1.0,,,,,
2020-02-03 11,2851.0,1.0,,,,,
2020-02-03 12,2851.0,1.0,,,,,
